#x;y;rot;heading;speed;rrot;x';y';heading'
0.000;0.000;0.000;0.000;1;20;0.000;1.000;0.000
0.000;1.000;0.030;0.000;1;20;0.000;2.000;0.001
0.000;2.000;0.060;0.001;1;20;0.000;3.000;0.002
0.000;3.000;0.090;0.002;1;20;0.000;4.000;0.003
0.000;4.000;0.120;0.003;1;20;0.000;5.000;0.005
0.000;5.000;0.150;0.005;1;20;0.000;6.000;0.007
0.000;6.000;0.180;0.007;1;20;0.000;7.000;0.010
0.000;7.000;0.210;0.010;1;20;0.000;8.000;0.014
0.000;8.000;0.240;0.014;1;20;0.001;9.000;0.018
0.001;9.000;0.270;0.018;1;20;0.001;10.000;0.022
0.001;10.000;0.300;0.022;1;20;0.001;11.000;0.028
0.001;11.000;0.330;0.028;1;20;0.002;12.000;0.033
0.002;12.000;0.360;0.033;1;20;0.002;13.000;0.039
0.002;13.000;0.390;0.039;1;20;0.003;14.000;0.046
0.003;14.000;0.420;0.046;1;20;0.004;15.000;0.053
0.004;15.000;0.450;0.053;1;20;0.005;16.000;0.060
0.005;16.000;0.480;0.060;1;20;0.006;17.000;0.068
0.006;17.000;0.510;0.068;1;20;0.007;18.000;0.077
0.007;18.000;0.540;0.077;1;20;0.008;19.000;0.086
0.008;19.000;0.570;0.086;1;20;0.010;20.000;0.095
0.010;20.000;0.600;0.095;1;20;0.012;21.000;0.105
0.012;21.000;0.630;0.105;1;20;0.013;22.000;0.116
0.013;22.000;0.660;0.116;1;20;0.015;23.000;0.127
0.015;23.000;0.690;0.127;1;20;0.018;24.000;0.138
0.018;24.000;0.720;0.138;1;20;0.020;25.000;0.150
0.020;25.000;0.750;0.150;1;20;0.023;26.000;0.163
0.023;26.000;0.780;0.163;1;20;0.026;27.000;0.176
0.026;27.000;0.810;0.176;1;20;0.029;28.000;0.189
0.029;28.000;0.840;0.189;1;20;0.032;29.000;0.203
0.032;29.000;0.870;0.203;1;20;0.035;30.000;0.218
0.035;30.000;0.900;0.218;1;20;0.039;31.000;0.233
0.039;31.000;0.930;0.233;1;20;0.043;32.000;0.248
0.043;32.000;0.960;0.248;1;20;0.048;33.000;0.264
0.048;33.000;0.990;0.264;1;20;0.052;34.000;0.281
0.052;34.000;1.020;0.281;1;20;0.057;35.000;0.298
0.057;35.000;1.050;0.298;1;20;0.062;36.000;0.315
0.062;36.000;1.080;0.315;1;20;0.068;37.000;0.333
0.068;37.000;1.110;0.333;1;20;0.074;38.000;0.352
0.074;38.000;1.140;0.352;1;20;0.080;39.000;0.371
0.080;39.000;1.170;0.371;1;20;0.086;40.000;0.390
0.086;40.000;1.200;0.390;1;20;0.093;41.000;0.410
0.093;41.000;1.230;0.410;1;20;0.100;42.000;0.431
0.100;42.000;1.260;0.431;1;20;0.108;43.000;0.452
0.108;43.000;1.290;0.452;1;20;0.116;44.000;0.473
0.116;44.000;1.320;0.473;1;20;0.124;45.000;0.495
0.124;45.000;1.350;0.495;1;20;0.132;46.000;0.518
0.132;46.000;1.380;0.518;1;20;0.142;47.000;0.541
0.142;47.000;1.410;0.541;1;20;0.151;48.000;0.564
0.151;48.000;1.440;0.564;1;20;0.161;49.000;0.588
0.161;49.000;1.470;0.588;1;20;0.171;49.999;0.613
0.171;49.999;1.500;0.613;1;20;0.182;50.999;0.638
0.182;50.999;1.530;0.638;1;20;0.193;51.999;0.663
0.193;51.999;1.560;0.663;1;20;0.204;52.999;0.689
0.204;52.999;1.590;0.689;1;20;0.216;53.999;0.716
0.216;53.999;1.620;0.716;1;20;0.229;54.999;0.743
0.229;54.999;1.650;0.743;1;20;0.242;55.999;0.770
0.242;55.999;1.680;0.770;1;20;0.255;56.999;0.798
0.255;56.999;1.710;0.798;1;20;0.269;57.999;0.827
0.269;57.999;1.740;0.827;1;20;0.284;58.999;0.856
0.284;58.999;1.770;0.856;1;20;0.299;59.999;0.885
0.299;59.999;1.800;0.885;1;20;0.314;60.999;0.915
0.314;60.999;1.830;0.915;1;20;0.330;61.998;0.946
0.330;61.998;1.860;0.946;1;20;0.347;62.998;0.977
0.347;62.998;1.890;0.977;1;20;0.364;63.998;1.008
0.364;63.998;1.920;1.008;1;20;0.381;64.998;1.040
0.381;64.998;1.950;1.040;1;20;0.399;65.998;1.073
0.399;65.998;1.980;1.073;1;20;0.418;66.998;1.106
0.418;66.998;2.010;1.106;1;20;0.437;67.997;1.139
0.437;67.997;2.040;1.139;1;20;0.457;68.997;1.173
0.457;68.997;2.070;1.173;1;20;0.478;69.997;1.208
0.478;69.997;2.100;1.208;1;20;0.499;70.997;1.243
0.499;70.997;2.130;1.243;1;20;0.520;71.997;1.278
0.520;71.997;2.160;1.278;1;20;0.543;72.996;1.314
0.543;72.996;2.190;1.314;1;20;0.566;73.996;1.351
0.566;73.996;2.220;1.351;1;20;0.589;74.996;1.388
0.589;74.996;2.250;1.388;1;20;0.613;75.995;1.425
0.613;75.995;2.280;1.425;1;20;0.638;76.995;1.463
0.638;76.995;2.310;1.463;1;20;0.664;77.995;1.502
0.664;77.995;2.340;1.502;1;20;0.690;78.995;1.541
0.690;78.995;2.370;1.541;1;20;0.717;79.994;1.580
0.717;79.994;2.400;1.580;1;20;0.745;80.994;1.620
0.745;80.994;2.430;1.620;1;20;0.773;81.993;1.661
0.773;81.993;2.460;1.661;1;20;0.802;82.993;1.702
0.802;82.993;2.490;1.702;1;20;0.831;83.993;1.743
0.831;83.993;2.520;1.743;1;20;0.862;84.992;1.785
0.862;84.992;2.550;1.785;1;20;0.893;85.992;1.828
0.893;85.992;2.580;1.828;1;20;0.925;86.991;1.871
0.925;86.991;2.610;1.871;1;20;0.958;87.991;1.914
0.958;87.991;2.640;1.914;1;20;0.991;88.990;1.958
0.991;88.990;2.670;1.958;1;20;1.025;89.989;2.002
1.025;89.989;2.700;2.002;1;20;1.060;90.989;2.047
1.060;90.989;2.730;2.047;1;20;1.096;91.988;2.093
1.096;91.988;2.760;2.093;1;20;1.132;92.987;2.139
1.132;92.987;2.790;2.139;1;20;1.170;93.987;2.185
1.170;93.987;2.820;2.185;1;20;1.208;94.986;2.232
1.208;94.986;2.850;2.232;1;20;1.247;95.985;2.280
1.247;95.985;2.880;2.280;1;20;1.287;96.984;2.328
1.287;96.984;2.910;2.328;1;20;1.327;97.984;2.376
