#x;y;rot;heading;speed;rrot;x';y';heading';rot'
0.000;0.000;0.000;0.000;1;20;0.000;1.000;0.000;0.030
0.000;1.000;0.030;0.000;1;-20;0.000;2.000;0.001;0.000
0.000;2.000;0.000;0.001;1;-20;0.000;3.000;0.001;-0.030
0.000;3.000;-0.030;0.001;1;-20;0.000;4.000;0.000;-0.060
0.000;4.000;-0.060;0.000;1;-20;0.000;5.000;359.999;-0.090
0.000;5.000;-0.090;359.999;1;-20;0.000;6.000;359.998;-0.120
0.000;6.000;-0.120;359.998;1;-20;-0.000;7.000;359.995;-0.150
-0.000;7.000;-0.150;359.995;1;-20;-0.000;8.000;359.993;-0.180
-0.000;8.000;-0.180;359.993;1;-20;-0.000;9.000;359.990;-0.210
-0.000;9.000;-0.210;359.990;1;-20;-0.000;10.000;359.987;-0.240
-0.000;10.000;-0.240;359.987;1;-20;-0.001;11.000;359.983;-0.270
-0.001;11.000;-0.270;359.983;1;-20;-0.001;12.000;359.978;-0.300
-0.001;12.000;-0.300;359.978;1;-20;-0.001;13.000;359.973;-0.330
-0.001;13.000;-0.330;359.973;1;-20;-0.002;14.000;359.968;-0.360
-0.002;14.000;-0.360;359.968;1;-20;-0.002;15.000;359.962;-0.390
-0.002;15.000;-0.390;359.962;1;-20;-0.003;16.000;359.955;-0.420
-0.003;16.000;-0.420;359.955;1;-20;-0.004;17.000;359.948;-0.450
-0.004;17.000;-0.450;359.948;1;-20;-0.005;18.000;359.941;-0.480
-0.005;18.000;-0.480;359.941;1;-20;-0.006;19.000;359.933;-0.510
-0.006;19.000;-0.510;359.933;1;-20;-0.007;20.000;359.924;-0.540
-0.007;20.000;-0.540;359.924;1;-20;-0.008;21.000;359.915;-0.570
-0.008;21.000;-0.570;359.915;1;-20;-0.010;22.000;359.906;-0.600
-0.010;22.000;-0.600;359.906;1;-20;-0.011;23.000;359.896;-0.630
-0.011;23.000;-0.630;359.896;1;-20;-0.013;24.000;359.885;-0.660
-0.013;24.000;-0.660;359.885;1;-20;-0.015;25.000;359.874;-0.690
-0.015;25.000;-0.690;359.874;1;-20;-0.017;26.000;359.863;-0.720
-0.017;26.000;-0.720;359.863;1;-20;-0.020;27.000;359.851;-0.750
-0.020;27.000;-0.750;359.851;1;-20;-0.022;28.000;359.838;-0.780
-0.022;28.000;-0.780;359.838;1;-20;-0.025;29.000;359.825;-0.810
-0.025;29.000;-0.810;359.825;1;-20;-0.028;30.000;359.812;-0.840
-0.028;30.000;-0.840;359.812;1;-20;-0.032;31.000;359.798;-0.870
-0.032;31.000;-0.870;359.798;1;-20;-0.035;32.000;359.783;-0.900
-0.035;32.000;-0.900;359.783;1;-20;-0.039;33.000;359.768;-0.930
-0.039;33.000;-0.930;359.768;1;-20;-0.043;34.000;359.753;-0.960
-0.043;34.000;-0.960;359.753;1;-20;-0.047;35.000;359.737;-0.990
-0.047;35.000;-0.990;359.737;1;-20;-0.052;36.000;359.720;-1.020
-0.052;36.000;-1.020;359.720;1;-20;-0.057;37.000;359.703;-1.050
-0.057;37.000;-1.050;359.703;1;-20;-0.062;38.000;359.686;-1.080
-0.062;38.000;-1.080;359.686;1;-20;-0.067;39.000;359.668;-1.110
-0.067;39.000;-1.110;359.668;1;-20;-0.073;40.000;359.649;-1.140
-0.073;40.000;-1.140;359.649;1;-20;-0.079;41.000;359.630;-1.170
