#speed;rrot;x'-x;y'-y;heading'-heading;rot'-rot
1;20;0.000;1.000;0.000;0.030
1;20;0.000;1.000;0.001;0.030
1;20;0.000;1.000;0.001;0.030
1;20;0.000;1.000;0.002;0.030
1;20;0.000;1.000;0.002;0.030
1;20;0.000;1.000;0.002;0.030
1;20;0.000;1.000;0.003;0.030
1;20;0.000;1.000;0.003;0.030
1;20;0.000;1.000;0.004;0.030
1;20;0.000;1.000;0.005;0.030
1;20;0.000;1.000;0.005;0.030
1;20;0.000;1.000;0.006;0.030
1;20;0.001;1.000;0.006;0.030
1;20;0.001;1.000;0.007;0.030
1;20;0.001;1.000;0.007;0.030
1;20;0.001;1.000;0.008;0.030
1;20;0.001;1.000;0.008;0.030
1;20;0.001;1.000;0.009;0.030
1;20;0.001;1.000;0.009;0.030
1;20;0.001;1.000;0.010;0.030
1;20;0.002;1.000;0.010;0.030
1;20;0.002;1.000;0.011;0.030
1;20;0.002;1.000;0.011;0.030
1;20;0.002;1.000;0.012;0.030
1;20;0.002;1.000;0.012;0.030
1;20;0.003;1.000;0.013;0.030
1;20;0.003;1.000;0.013;0.030
1;20;0.003;1.000;0.014;0.030
1;20;0.003;1.000;0.014;0.030
1;20;0.004;1.000;0.015;0.030
1;20;0.004;1.000;0.015;0.030
1;20;0.004;1.000;0.016;0.030
1;20;0.004;1.000;0.016;0.030
1;20;0.005;1.000;0.017;0.030
1;20;0.005;1.000;0.017;0.030
1;20;0.005;1.000;0.018;0.030
1;20;0.005;1.000;0.018;0.030
1;20;0.006;1.000;0.019;0.030
1;20;0.006;1.000;0.019;0.030
1;20;0.006;1.000;0.020;0.030
1;20;0.007;1.000;0.020;0.030
1;20;0.007;1.000;0.021;0.030
1;20;0.008;1.000;0.021;0.030
1;20;0.008;1.000;0.022;0.030
1;20;0.008;1.000;0.022;0.030
1;20;0.009;1.000;0.023;0.030
1;20;0.009;1.000;0.023;0.030
1;20;0.009;1.000;0.023;0.030
1;20;0.010;1.000;0.024;0.030
1;20;0.010;1.000;0.024;0.030
1;20;0.011;1.000;0.025;0.030
1;20;0.011;1.000;0.025;0.030
1;20;0.012;1.000;0.026;0.030
1;20;0.012;1.000;0.026;0.030
1;20;0.012;1.000;0.027;0.030
1;20;0.013;1.000;0.027;0.030
1;20;0.013;1.000;0.028;0.030
1;20;0.014;1.000;0.028;0.030
1;20;0.014;1.000;0.029;0.030
1;20;0.015;1.000;0.029;0.030
1;20;0.015;1.000;0.030;0.030
1;20;0.016;1.000;0.030;0.030
1;20;0.017;1.000;0.031;0.030
1;20;0.017;1.000;0.032;0.030
1;20;0.018;1.000;0.032;0.030
1;20;0.018;1.000;0.032;0.030
1;20;0.019;1.000;0.033;0.030
1;20;0.019;1.000;0.034;0.030
1;20;0.020;1.000;0.034;0.030
1;20;0.020;1.000;0.034;0.030
1;20;0.021;1.000;0.035;0.030
1;20;0.022;1.000;0.036;0.030
1;20;0.022;1.000;0.036;0.030
1;20;0.023;1.000;0.036;0.030
1;20;0.024;1.000;0.037;0.030
1;20;0.024;1.000;0.038;0.030
1;20;0.025;1.000;0.038;0.030
1;20;0.026;1.000;0.038;0.030
1;20;0.026;1.000;0.039;0.030
1;20;0.027;1.000;0.040;0.030
1;20;0.028;1.000;0.040;0.030
1;20;0.028;1.000;0.040;0.030
1;20;0.029;1.000;0.041;0.030
1;20;0.030;1.000;0.041;0.030
1;20;0.030;1.000;0.042;0.030
1;20;0.031;1.000;0.042;0.030
1;20;0.032;0.999;0.043;0.030
1;20;0.033;0.999;0.043;0.030
1;20;0.033;0.999;0.044;0.030
1;20;0.034;0.999;0.044;0.030
1;20;0.035;0.999;0.045;0.030
1;20;0.036;0.999;0.046;0.030
1;20;0.037;0.999;0.046;0.030
1;20;0.037;0.999;0.046;0.030
1;20;0.038;0.999;0.047;0.030
1;20;0.039;0.999;0.047;0.030
1;20;0.040;0.999;0.048;0.030
1;20;0.041;0.999;0.048;0.030
1;20;0.041;0.999;0.049;0.030
1;20;0.042;0.999;0.050;0.030
1;20;0.043;0.999;0.050;0.030
1;20;0.044;0.999;0.050;0.030
1;20;0.045;0.999;0.051;0.030
1;20;0.046;0.999;0.051;0.030
1;20;0.047;0.999;0.052;0.030
1;20;0.048;0.999;0.052;0.030
1;20;0.049;0.999;0.053;0.030
1;20;0.049;0.999;0.054;0.030
1;20;0.050;0.999;0.054;0.030
1;20;0.051;0.999;0.054;0.030
1;20;0.052;0.999;0.055;0.030
1;20;0.053;0.999;0.055;0.030
1;20;0.054;0.999;0.056;0.030
1;20;0.055;0.998;0.056;0.030
1;20;0.056;0.998;0.057;0.030
1;20;0.057;0.998;0.057;0.030
1;20;0.058;0.998;0.058;0.030
1;20;0.059;0.998;0.058;0.030
1;20;0.060;0.998;0.059;0.030
1;20;0.061;0.998;0.059;0.030
1;20;0.062;0.998;0.060;0.030
1;20;0.063;0.998;0.060;0.030
1;20;0.064;0.998;0.061;0.030
1;20;0.065;0.998;0.061;0.030
1;20;0.067;0.998;0.062;0.030
1;20;0.068;0.998;0.062;0.030
1;20;0.069;0.998;0.063;0.030
1;20;0.070;0.998;0.063;0.030
1;20;0.071;0.997;0.064;0.030
1;20;0.072;0.997;0.064;0.030
1;20;0.073;0.997;0.065;0.030
1;20;0.074;0.997;0.066;0.030
1;20;0.075;0.997;0.066;0.030
1;20;0.077;0.997;0.066;0.030
1;20;0.078;0.997;0.067;0.030
1;20;0.079;0.997;0.067;0.030
1;20;0.080;0.997;0.068;0.030
1;20;0.081;0.997;0.069;0.030
1;20;0.082;0.997;0.069;0.030
1;20;0.084;0.996;0.069;0.030
1;20;0.085;0.996;0.070;0.030
1;20;0.086;0.996;0.071;0.030
1;20;0.087;0.996;0.071;0.030
1;20;0.088;0.996;0.071;0.030
1;20;0.090;0.996;0.072;0.030
1;20;0.091;0.996;0.072;0.030
1;20;0.092;0.996;0.073;0.030
1;20;0.094;0.996;0.074;0.030
1;20;0.095;0.995;0.074;0.030
1;20;0.096;0.995;0.074;0.030
1;20;0.097;0.995;0.075;0.030
1;20;0.099;0.995;0.075;0.030
1;20;0.100;0.995;0.076;0.030
1;20;0.101;0.995;0.077;0.030
1;20;0.103;0.995;0.077;0.030
1;20;0.104;0.995;0.077;0.030
1;20;0.105;0.994;0.078;0.030
1;20;0.107;0.994;0.079;0.030
1;20;0.108;0.994;0.079;0.030
1;20;0.109;0.994;0.080;0.030
1;20;0.111;0.994;0.080;0.030
1;20;0.112;0.994;0.080;0.030
1;20;0.114;0.994;0.081;0.030
1;20;0.115;0.993;0.082;0.030
1;20;0.116;0.993;0.082;0.030
1;20;0.118;0.993;0.082;0.030
1;20;0.119;0.993;0.083;0.030
1;20;0.121;0.993;0.083;0.030
1;20;0.122;0.993;0.084;0.030
1;20;0.124;0.992;0.085;0.030
1;20;0.125;0.992;0.085;0.030
1;20;0.127;0.992;0.085;0.030
1;20;0.128;0.992;0.086;0.030
1;20;0.129;0.992;0.087;0.030
1;20;0.131;0.991;0.087;0.030
1;20;0.132;0.991;0.088;0.030
1;20;0.134;0.991;0.088;0.030
1;20;0.136;0.991;0.088;0.030
1;20;0.137;0.991;0.089;0.030
1;20;0.139;0.990;0.090;0.030
1;20;0.140;0.990;0.090;0.030
1;20;0.142;0.990;0.091;0.030
1;20;0.143;0.990;0.091;0.030
1;20;0.145;0.989;0.091;0.030
1;20;0.146;0.989;0.092;0.030
1;20;0.148;0.989;0.092;0.030
1;20;0.150;0.989;0.093;0.030
1;20;0.151;0.989;0.094;0.030
1;20;0.153;0.988;0.094;0.030
1;20;0.154;0.988;0.095;0.030
1;20;0.156;0.988;0.095;0.030
1;20;0.158;0.987;0.095;0.030
1;20;0.159;0.987;0.096;0.030
1;20;0.161;0.987;0.097;0.030
1;20;0.163;0.987;0.097;0.030
1;20;0.164;0.986;0.098;0.030
1;20;0.166;0.986;0.098;0.030
1;20;0.168;0.986;0.098;0.030
1;20;0.169;0.986;0.099;0.030
1;20;0.171;0.985;0.100;0.030
1;20;0.173;0.985;0.100;0.030
1;20;0.175;0.985;0.101;0.030
1;20;0.176;0.984;0.101;0.030
1;20;0.178;0.984;0.101;0.030
1;20;0.180;0.984;0.102;0.030
1;20;0.181;0.983;0.103;0.030
1;20;0.183;0.983;0.103;0.030
1;20;0.185;0.983;0.104;0.030
1;20;0.187;0.982;0.104;0.030
1;20;0.189;0.982;0.104;0.030
1;20;0.190;0.982;0.105;0.030
1;20;0.192;0.981;0.105;0.030
1;20;0.194;0.981;0.106;0.030
1;20;0.196;0.981;0.107;0.030
1;20;0.198;0.980;0.107;0.030
1;20;0.199;0.980;0.107;0.030
1;20;0.201;0.980;0.108;0.030
1;20;0.203;0.979;0.108;0.030
1;20;0.205;0.979;0.109;0.030
1;20;0.207;0.978;0.110;0.030
1;20;0.209;0.978;0.110;0.030
1;20;0.211;0.978;0.111;0.030
1;20;0.212;0.977;0.111;0.030
1;20;0.214;0.977;0.111;0.030
1;20;0.216;0.976;0.112;0.030
1;20;0.218;0.976;0.113;0.030
1;20;0.220;0.975;0.113;0.030
1;20;0.222;0.975;0.114;0.030
1;20;0.224;0.975;0.114;0.030
1;20;0.226;0.974;0.114;0.030
1;20;0.228;0.974;0.115;0.030
1;20;0.230;0.973;0.116;0.030
1;20;0.232;0.973;0.116;0.030
1;20;0.234;0.972;0.117;0.030
1;20;0.236;0.972;0.117;0.030
1;20;0.238;0.971;0.117;0.030
1;20;0.240;0.971;0.118;0.030
1;20;0.242;0.970;0.119;0.030
1;20;0.244;0.970;0.119;0.030
1;20;0.246;0.969;0.120;0.030
1;20;0.248;0.969;0.120;0.030
1;20;0.250;0.968;0.120;0.030
1;20;0.252;0.968;0.121;0.030
1;20;0.254;0.967;0.122;0.030
1;20;0.256;0.967;0.122;0.030
1;20;0.258;0.966;0.123;0.030
1;20;0.260;0.966;0.123;0.030
1;20;0.262;0.965;0.123;0.030
1;20;0.264;0.964;0.124;0.030
1;20;0.266;0.964;0.125;0.030
1;20;0.268;0.963;0.125;0.030
1;20;0.270;0.963;0.126;0.030
1;20;0.272;0.962;0.126;0.030
1;20;0.275;0.962;0.127;0.030
1;20;0.277;0.961;0.127;0.030
1;20;0.279;0.960;0.128;0.030
1;20;0.281;0.960;0.128;0.030
1;20;0.283;0.959;0.128;0.030
1;20;0.285;0.958;0.129;0.030
1;20;0.287;0.958;0.130;0.030
1;20;0.290;0.957;0.130;0.030
1;20;0.292;0.956;0.131;0.030
1;20;0.294;0.956;0.131;0.030
1;20;0.296;0.955;0.131;0.030
1;20;0.298;0.954;0.132;0.030
1;20;0.301;0.954;0.133;0.030
1;20;0.303;0.953;0.133;0.030
1;20;0.305;0.952;0.134;0.030
1;20;0.307;0.952;0.134;0.030
1;20;0.309;0.951;0.134;0.030
1;20;0.312;0.950;0.135;0.030
1;20;0.314;0.949;0.136;0.030
1;20;0.316;0.949;0.136;0.030
1;20;0.318;0.948;0.137;0.030
1;20;0.321;0.947;0.137;0.030
1;20;0.323;0.946;0.137;0.030
1;20;0.325;0.946;0.138;0.030
1;20;0.327;0.945;0.139;0.030
1;20;0.330;0.944;0.139;0.030
1;20;0.332;0.943;0.140;0.030
1;20;0.334;0.942;0.140;0.030
1;20;0.337;0.942;0.140;0.030
1;20;0.339;0.941;0.141;0.030
1;20;0.341;0.940;0.142;0.030
1;20;0.344;0.939;0.142;0.030
1;20;0.346;0.938;0.143;0.030
1;20;0.348;0.937;0.143;0.030
1;20;0.351;0.937;0.143;0.030
