#rot;heading;speed;rrot;x';y';heading';rot'
0.000;0.000;1;20;0.000;1.000;0.000;0.030
0.030;0.000;1;20;0.000;1.000;0.001;0.060
0.060;0.001;1;20;0.000;1.000;0.002;0.090
0.090;0.002;1;20;0.000;1.000;0.003;0.120
0.120;0.003;1;20;0.000;1.000;0.005;0.150
0.150;0.005;1;20;0.000;1.000;0.007;0.180
0.180;0.007;1;20;0.000;1.000;0.010;0.210
0.210;0.010;1;20;0.000;1.000;0.014;0.240
0.240;0.014;1;20;0.000;1.000;0.018;0.270
0.270;0.018;1;20;0.000;1.000;0.022;0.300
0.300;0.022;1;20;0.000;1.000;0.028;0.330
0.330;0.028;1;20;0.000;1.000;0.033;0.360
0.360;0.033;1;20;0.001;1.000;0.039;0.390
0.390;0.039;1;20;0.001;1.000;0.046;0.420
0.420;0.046;1;20;0.001;1.000;0.053;0.450
0.450;0.053;1;20;0.001;1.000;0.060;0.480
0.480;0.060;1;20;0.001;1.000;0.068;0.510
0.510;0.068;1;20;0.001;1.000;0.077;0.540
0.540;0.077;1;20;0.001;1.000;0.086;0.570
0.570;0.086;1;20;0.001;1.000;0.095;0.600
0.600;0.095;1;20;0.002;1.000;0.105;0.630
0.630;0.105;1;20;0.002;1.000;0.116;0.660
0.660;0.116;1;20;0.002;1.000;0.127;0.690
0.690;0.127;1;20;0.002;1.000;0.138;0.720
0.720;0.138;1;20;0.002;1.000;0.150;0.750
0.750;0.150;1;20;0.003;1.000;0.163;0.780
0.780;0.163;1;20;0.003;1.000;0.176;0.810
0.810;0.176;1;20;0.003;1.000;0.189;0.840
0.840;0.189;1;20;0.003;1.000;0.203;0.870
0.870;0.203;1;20;0.004;1.000;0.218;0.900
0.900;0.218;1;20;0.004;1.000;0.233;0.930
0.930;0.233;1;20;0.004;1.000;0.248;0.960
0.960;0.248;1;20;0.004;1.000;0.264;0.990
0.990;0.264;1;20;0.005;1.000;0.281;1.020
1.020;0.281;1;20;0.005;1.000;0.298;1.050
1.050;0.298;1;20;0.005;1.000;0.315;1.080
1.080;0.315;1;20;0.005;1.000;0.333;1.110
1.110;0.333;1;20;0.006;1.000;0.352;1.140
1.140;0.352;1;20;0.006;1.000;0.371;1.170
1.170;0.371;1;20;0.006;1.000;0.390;1.200
1.200;0.390;1;20;0.007;1.000;0.410;1.230
1.230;0.410;1;20;0.007;1.000;0.431;1.260
1.260;0.431;1;20;0.008;1.000;0.452;1.290
1.290;0.452;1;20;0.008;1.000;0.473;1.320
1.320;0.473;1;20;0.008;1.000;0.495;1.350
1.350;0.495;1;20;0.009;1.000;0.518;1.380
1.380;0.518;1;20;0.009;1.000;0.541;1.410
1.410;0.541;1;20;0.009;1.000;0.564;1.440
1.440;0.564;1;20;0.010;1.000;0.588;1.470
1.470;0.588;1;20;0.010;1.000;0.613;1.500
1.500;0.613;1;20;0.011;1.000;0.638;1.530
1.530;0.638;1;20;0.011;1.000;0.663;1.560
1.560;0.663;1;20;0.012;1.000;0.689;1.590
1.590;0.689;1;20;0.012;1.000;0.716;1.620
1.620;0.716;1;20;0.012;1.000;0.743;1.650
1.650;0.743;1;20;0.013;1.000;0.770;1.680
1.680;0.770;1;20;0.013;1.000;0.798;1.710
1.710;0.798;1;20;0.014;1.000;0.827;1.740
1.740;0.827;1;20;0.014;1.000;0.856;1.770
1.770;0.856;1;20;0.015;1.000;0.885;1.800
1.800;0.885;1;20;0.015;1.000;0.915;1.830
1.830;0.915;1;20;0.016;1.000;0.946;1.860
1.860;0.946;1;20;0.017;1.000;0.977;1.890
1.890;0.977;1;20;0.017;1.000;1.008;1.920
1.920;1.008;1;20;0.018;1.000;1.040;1.950
1.950;1.040;1;20;0.018;1.000;1.073;1.980
1.980;1.073;1;20;0.019;1.000;1.106;2.010
2.010;1.106;1;20;0.019;1.000;1.139;2.040
2.040;1.139;1;20;0.020;1.000;1.173;2.070
2.070;1.173;1;20;0.020;1.000;1.208;2.100
2.100;1.208;1;20;0.021;1.000;1.243;2.130
2.130;1.243;1;20;0.022;1.000;1.278;2.160
2.160;1.278;1;20;0.022;1.000;1.314;2.190
2.190;1.314;1;20;0.023;1.000;1.351;2.220
2.220;1.351;1;20;0.024;1.000;1.388;2.250
2.250;1.388;1;20;0.024;1.000;1.425;2.280
2.280;1.425;1;20;0.025;1.000;1.463;2.310
2.310;1.463;1;20;0.026;1.000;1.502;2.340
2.340;1.502;1;20;0.026;1.000;1.541;2.370
2.370;1.541;1;20;0.027;1.000;1.580;2.400
2.400;1.580;1;20;0.028;1.000;1.620;2.430
2.430;1.620;1;20;0.028;1.000;1.661;2.460
2.460;1.661;1;20;0.029;1.000;1.702;2.490
2.490;1.702;1;20;0.030;1.000;1.743;2.520
2.520;1.743;1;20;0.030;1.000;1.785;2.550
2.550;1.785;1;20;0.031;1.000;1.828;2.580
2.580;1.828;1;20;0.032;0.999;1.871;2.610
2.610;1.871;1;20;0.033;0.999;1.914;2.640
2.640;1.914;1;20;0.033;0.999;1.958;2.670
2.670;1.958;1;20;0.034;0.999;2.002;2.700
2.700;2.002;1;20;0.035;0.999;2.047;2.730
2.730;2.047;1;20;0.036;0.999;2.093;2.760
2.760;2.093;1;20;0.037;0.999;2.139;2.790
2.790;2.139;1;20;0.037;0.999;2.185;2.820
2.820;2.185;1;20;0.038;0.999;2.232;2.850
2.850;2.232;1;20;0.039;0.999;2.280;2.880
2.880;2.280;1;20;0.040;0.999;2.328;2.910
2.910;2.328;1;20;0.041;0.999;2.376;2.940
2.940;2.376;1;20;0.041;0.999;2.425;2.970
2.970;2.425;1;20;0.042;0.999;2.475;3.000
3.000;2.475;1;20;0.043;0.999;2.525;3.030
3.030;2.525;1;20;0.044;0.999;2.575;3.060
3.060;2.575;1;20;0.045;0.999;2.626;3.090
3.090;2.626;1;20;0.046;0.999;2.678;3.120
3.120;2.678;1;20;0.047;0.999;2.730;3.150
3.150;2.730;1;20;0.048;0.999;2.782;3.180
3.180;2.782;1;20;0.049;0.999;2.835;3.210
3.210;2.835;1;20;0.049;0.999;2.889;3.240
3.240;2.889;1;20;0.050;0.999;2.943;3.270
3.270;2.943;1;20;0.051;0.999;2.997;3.300
3.300;2.997;1;20;0.052;0.999;3.052;3.330
3.330;3.052;1;20;0.053;0.999;3.108;3.360
3.360;3.108;1;20;0.054;0.999;3.164;3.390
3.390;3.164;1;20;0.055;0.998;3.220;3.420
3.420;3.220;1;20;0.056;0.998;3.277;3.450
3.450;3.277;1;20;0.057;0.998;3.335;3.480
3.480;3.335;1;20;0.058;0.998;3.393;3.510
3.510;3.393;1;20;0.059;0.998;3.451;3.540
3.540;3.451;1;20;0.060;0.998;3.510;3.570
3.570;3.510;1;20;0.061;0.998;3.570;3.600
3.600;3.570;1;20;0.062;0.998;3.630;3.630
3.630;3.630;1;20;0.063;0.998;3.690;3.660
3.660;3.690;1;20;0.064;0.998;3.751;3.690
3.690;3.751;1;20;0.065;0.998;3.813;3.720
3.720;3.813;1;20;0.067;0.998;3.875;3.750
3.750;3.875;1;20;0.068;0.998;3.937;3.780
3.780;3.937;1;20;0.069;0.998;4.000;3.810
3.810;4.000;1;20;0.070;0.998;4.064;3.840
3.840;4.064;1;20;0.071;0.997;4.128;3.870
3.870;4.128;1;20;0.072;0.997;4.192;3.900
3.900;4.192;1;20;0.073;0.997;4.257;3.930
3.930;4.257;1;20;0.074;0.997;4.323;3.960
3.960;4.323;1;20;0.075;0.997;4.389;3.990
3.990;4.389;1;20;0.077;0.997;4.455;4.020
4.020;4.455;1;20;0.078;0.997;4.522;4.050
4.050;4.522;1;20;0.079;0.997;4.590;4.080
4.080;4.590;1;20;0.080;0.997;4.658;4.110
4.110;4.658;1;20;0.081;0.997;4.726;4.140
4.140;4.726;1;20;0.082;0.997;4.795;4.170
4.170;4.795;1;20;0.084;0.996;4.865;4.200
4.200;4.865;1;20;0.085;0.996;4.935;4.230
4.230;4.935;1;20;0.086;0.996;5.005;4.260
4.260;5.005;1;20;0.087;0.996;5.076;4.290
4.290;5.076;1;20;0.088;0.996;5.148;4.320
4.320;5.148;1;20;0.090;0.996;5.220;4.350
4.350;5.220;1;20;0.091;0.996;5.292;4.380
4.380;5.292;1;20;0.092;0.996;5.365;4.410
4.410;5.365;1;20;0.094;0.996;5.439;4.440
4.440;5.439;1;20;0.095;0.995;5.513;4.470
4.470;5.513;1;20;0.096;0.995;5.587;4.500
4.500;5.587;1;20;0.097;0.995;5.662;4.530
4.530;5.662;1;20;0.099;0.995;5.738;4.560
4.560;5.738;1;20;0.100;0.995;5.814;4.590
4.590;5.814;1;20;0.101;0.995;5.890;4.620
4.620;5.890;1;20;0.103;0.995;5.967;4.650
4.650;5.967;1;20;0.104;0.995;6.045;4.680
4.680;6.045;1;20;0.105;0.994;6.123;4.710
4.710;6.123;1;20;0.107;0.994;6.201;4.740
4.740;6.201;1;20;0.108;0.994;6.280;4.770
4.770;6.280;1;20;0.109;0.994;6.360;4.800
4.800;6.360;1;20;0.111;0.994;6.440;4.830
4.830;6.440;1;20;0.112;0.994;6.520;4.860
4.860;6.520;1;20;0.114;0.994;6.601;4.890
4.890;6.601;1;20;0.115;0.993;6.683;4.920
4.920;6.683;1;20;0.116;0.993;6.765;4.950
4.950;6.765;1;20;0.118;0.993;6.847;4.980
4.980;6.847;1;20;0.119;0.993;6.930;5.010
5.010;6.930;1;20;0.121;0.993;7.014;5.040
5.040;7.014;1;20;0.122;0.993;7.098;5.070
5.070;7.098;1;20;0.124;0.992;7.182;5.100
5.100;7.182;1;20;0.125;0.992;7.267;5.130
5.130;7.267;1;20;0.127;0.992;7.353;5.160
5.160;7.353;1;20;0.128;0.992;7.439;5.190
5.190;7.439;1;20;0.129;0.992;7.525;5.220
5.220;7.525;1;20;0.131;0.991;7.612;5.250
5.250;7.612;1;20;0.132;0.991;7.700;5.280
5.280;7.700;1;20;0.134;0.991;7.788;5.310
5.310;7.788;1;20;0.136;0.991;7.876;5.340
5.340;7.876;1;20;0.137;0.991;7.965;5.370
5.370;7.965;1;20;0.139;0.990;8.055;5.400
5.400;8.055;1;20;0.140;0.990;8.145;5.430
5.430;8.145;1;20;0.142;0.990;8.235;5.460
5.460;8.235;1;20;0.143;0.990;8.326;5.490
5.490;8.326;1;20;0.145;0.989;8.418;5.520
5.520;8.418;1;20;0.146;0.989;8.510;5.550
5.550;8.510;1;20;0.148;0.989;8.602;5.580
5.580;8.602;1;20;0.150;0.989;8.695;5.610
5.610;8.695;1;20;0.151;0.989;8.789;5.640
5.640;8.789;1;20;0.153;0.988;8.883;5.670
5.670;8.883;1;20;0.154;0.988;8.977;5.700
5.700;8.977;1;20;0.156;0.988;9.072;5.730
5.730;9.072;1;20;0.158;0.987;9.168;5.760
5.760;9.168;1;20;0.159;0.987;9.264;5.790
5.790;9.264;1;20;0.161;0.987;9.360;5.820
5.820;9.360;1;20;0.163;0.987;9.457;5.850
5.850;9.457;1;20;0.164;0.986;9.555;5.880
5.880;9.555;1;20;0.166;0.986;9.653;5.910
5.910;9.653;1;20;0.168;0.986;9.751;5.940
5.940;9.751;1;20;0.169;0.986;9.850;5.970
5.970;9.850;1;20;0.171;0.985;9.950;6.000
6.000;9.950;1;20;0.173;0.985;10.050;6.030
6.030;10.050;1;20;0.175;0.985;10.150;6.060
6.060;10.150;1;20;0.176;0.984;10.251;6.090
6.090;10.251;1;20;0.178;0.984;10.353;6.120
6.120;10.353;1;20;0.180;0.984;10.455;6.150
6.150;10.455;1;20;0.181;0.983;10.557;6.180
6.180;10.557;1;20;0.183;0.983;10.660;6.210
6.210;10.660;1;20;0.185;0.983;10.764;6.240
6.240;10.764;1;20;0.187;0.982;10.868;6.270
6.270;10.868;1;20;0.189;0.982;10.972;6.300
6.300;10.972;1;20;0.190;0.982;11.077;6.330
6.330;11.077;1;20;0.192;0.981;11.183;6.360
6.360;11.183;1;20;0.194;0.981;11.289;6.390
6.390;11.289;1;20;0.196;0.981;11.395;6.420
6.420;11.395;1;20;0.198;0.980;11.502;6.450
6.450;11.502;1;20;0.199;0.980;11.610;6.480
6.480;11.610;1;20;0.201;0.980;11.718;6.510
6.510;11.718;1;20;0.203;0.979;11.826;6.540
6.540;11.826;1;20;0.205;0.979;11.935;6.570
6.570;11.935;1;20;0.207;0.978;12.045;6.600
6.600;12.045;1;20;0.209;0.978;12.155;6.630
6.630;12.155;1;20;0.211;0.978;12.265;6.660
6.660;12.265;1;20;0.212;0.977;12.376;6.690
6.690;12.376;1;20;0.214;0.977;12.488;6.720
6.720;12.488;1;20;0.216;0.976;12.600;6.750
6.750;12.600;1;20;0.218;0.976;12.712;6.780
6.780;12.712;1;20;0.220;0.975;12.825;6.810
6.810;12.825;1;20;0.222;0.975;12.939;6.840
6.840;12.939;1;20;0.224;0.975;13.053;6.870
6.870;13.053;1;20;0.226;0.974;13.167;6.900
6.900;13.167;1;20;0.228;0.974;13.282;6.930
6.930;13.282;1;20;0.230;0.973;13.398;6.960
6.960;13.398;1;20;0.232;0.973;13.514;6.990
6.990;13.514;1;20;0.234;0.972;13.630;7.020
7.020;13.630;1;20;0.236;0.972;13.747;7.050
7.050;13.747;1;20;0.238;0.971;13.865;7.080
7.080;13.865;1;20;0.240;0.971;13.983;7.110
7.110;13.983;1;20;0.242;0.970;14.101;7.140
7.140;14.101;1;20;0.244;0.970;14.220;7.170
7.170;14.220;1;20;0.246;0.969;14.340;7.200
7.200;14.340;1;20;0.248;0.969;14.460;7.230
7.230;14.460;1;20;0.250;0.968;14.580;7.260
7.260;14.580;1;20;0.252;0.968;14.701;7.290
7.290;14.701;1;20;0.254;0.967;14.823;7.320
7.320;14.823;1;20;0.256;0.967;14.945;7.350
7.350;14.945;1;20;0.258;0.966;15.068;7.380
7.380;15.068;1;20;0.260;0.966;15.191;7.410
7.410;15.191;1;20;0.262;0.965;15.314;7.440
7.440;15.314;1;20;0.264;0.964;15.438;7.470
7.470;15.438;1;20;0.266;0.964;15.563;7.500
7.500;15.563;1;20;0.268;0.963;15.688;7.530
7.530;15.688;1;20;0.270;0.963;15.813;7.560
7.560;15.813;1;20;0.272;0.962;15.939;7.590
7.590;15.939;1;20;0.275;0.962;16.066;7.620
7.620;16.066;1;20;0.277;0.961;16.193;7.650
7.650;16.193;1;20;0.279;0.960;16.320;7.680
7.680;16.320;1;20;0.281;0.960;16.448;7.710
7.710;16.448;1;20;0.283;0.959;16.577;7.740
7.740;16.577;1;20;0.285;0.958;16.706;7.770
7.770;16.706;1;20;0.287;0.958;16.835;7.800
